CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;CONDOM;NEGOC_MERC;MERCADO;TP_PRAZO;PRAZO;PUBLICO_ALVO;REG_ANBIMA;CLASSE_ANBIMA;DISTRIB;POLIT_INVEST;APLIC_MAX_FUNDO_LIGADO;RESULT_CART_INCORP_PL;FUNDO_COTAS;FUNDO_ESPELHO;APLIC_MIN;ATUALIZ_DIARIA_COTA;PRAZO_ATUALIZ_COTA;COTA_EMISSAO;COTA_PL;QT_DIA_CONVERSAO_COTA;QT_DIA_PAGTO_COTA;QT_DIA_RESGATE_COTAS;QT_DIA_PAGTO_RESGATE;TP_DIA_PAGTO_RESGATE;TAXA_SAIDA_PAGTO_RESGATE;TAXA_ADM;TAXA_CUSTODIA_MAX;EXISTE_TAXA_PERFM;TAXA_PERFM;PARAM_TAXA_PERFM;PR_INDICE_REFER_TAXA_PERFM;VL_CUPOM;CALC_TAXA_PERFM;INF_TAXA_PERFM;EXISTE_TAXA_INGRESSO;TAXA_INGRESSO_REAL;TAXA_INGRESSO_PR;EXISTE_TAXA_SAIDA;TAXA_SAIDA_REAL;TAXA_SAIDA_PR;OPER_DERIV;FINALIDADE_OPER_DERIV;OPER_VL_SUPERIOR_PL;FATOR_OPER_VL_SUPERIOR_PL;CONTRAP_LIGADO;INVEST_EXTERIOR;APLIC_MAX_ATIVO_EXTERIOR;ATIVO_CRED_PRIV;APLIC_MAX_ATIVO_CRED_PRIV;PR_INSTITUICAO_FINANC_MIN;PR_INSTITUICAO_FINANC_MAX;PR_CIA_MIN;PR_CIA_MAX;PR_FI_MIN;PR_FI_MAX;PR_UNIAO_MIN;PR_UNIAO_MAX;PR_ADMIN_GESTOR_MIN;PR_ADMIN_GESTOR_MAX;PR_EMISSOR_OUTRO_MIN;PR_EMISSOR_OUTRO_MAX;PR_COTA_FI_MIN;PR_COTA_FI_MAX;PR_COTA_FIC_MIN;PR_COTA_FIC_MAX;PR_COTA_FI_QUALIF_MIN;PR_COTA_FI_QUALIF_MAX;PR_COTA_FIC_QUALIF_MIN;PR_COTA_FIC_QUALIF_MAX;PR_COTA_FI_PROF_MIN;PR_COTA_FI_PROF_MAX;PR_COTA_FIC_PROF_MIN;PR_COTA_FIC_PROF_MAX;PR_COTA_FII_MIN;PR_COTA_FII_MAX;PR_COTA_FIDC_MIN;PR_COTA_FIDC_MAX;PR_COTA_FICFIDC_MIN;PR_COTA_FICFIDC_MAX;PR_COTA_FIDC_NP_MIN;PR_COTA_FIDC_NP_MAX;PR_COTA_FICFIDC_NP_MIN;PR_COTA_FICFIDC_NP_MAX;PR_COTA_ETF_MIN;PR_COTA_ETF_MAX;PR_CRI_MIN;PR_CRI_MAX;PR_TITPUB_MIN;PR_TITPUB_MAX;PR_OURO_MIN;PR_OURO_MAX;PR_TIT_INSTITUICAO_FINANC_BACEN_MIN;PR_TIT_INSTITUICAO_FINANC_BACEN_MAX;PR_VLMOB_MIN;PR_VLMOB_MAX;PR_ACAO_MIN;PR_ACAO_MAX;PR_DEBENTURE_MIN;PR_DEBENTURE_MAX;PR_NP_MIN;PR_NP_MAX;PR_COMPROM_MIN;PR_COMPROM_MAX;PR_DERIV_MIN;PR_DERIV_MAX;PR_ATIVO_OUTRO_MIN;PR_ATIVO_OUTRO_MAX;PR_COTA_FMIEE_MIN;PR_COTA_FMIEE_MAX;PR_COTA_FIP_MIN;PR_COTA_FIP_MAX;PR_COTA_FICFIP_MIN;PR_COTA_FICFIP_MAX
00.089.915/0001-15;AMARIL FRANKLIN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-01-27;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;N;;REDE DE AGÊNCIAS DE INSTITUIÇÃO FINANCEIRA CONVENIADA/CONTRATADA;ATIVA E NÃO-REFERENCIADA;100.00;S;S;N;0.00;S;;DIA DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);0;0;;0;DIAS ÚTEIS;N;1.500000;0.100000;N;;;;;;;N;;;N;;;S;ESPECULAÇÃO;S;0.00;S;S;20.00;S;100.000000000000;0.00;5.00;0.00;5.00;95.00;100.00;0.00;5.00;0.00;100.00;0.00;100.00;95.00;100.00;95.00;100.00;0.00;20.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;20.00;0.00;20.00;0.00;20.00;0.00;5.00;0.00;5.00;0.00;100.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00
00.743.026/0001-20;BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;RENDA FIXA LIVRE DURAÇÃO - SOBERANO;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;0.00;S;N;;100.00;S;;DIA DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);0;0;0;0;DIAS CORRIDOS;N;1.600000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;S;50.000000000000;0.00;0.00;0.00;0.00;0.00;0.00;50.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-01-11;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;100.00;S;N;;1000.00;S;;DIA SEGUINTE AO DA APLICAÇÃO;DIA ANTERIOR, ATUALIZADO POR 1 DIA (COTA DE ABERTURA);0;0;;0;DIAS CORRIDOS;N;0.800000;0.060000;N;;;;;;;N;;;N;;;S;ARBITRAGEM;N;;N;N;;S;100.000000000000;0.00;20.00;0.00;10.00;0.00;10.00;0.00;100.00;0.00;20.00;0.00;5.00;0.00;100.00;0.00;100.00;0.00;20.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;20.00;0.00;20.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;20.00;0.00;100.00;0.00;0.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;0.00;100.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00
01.103.103/0001-40;FI EM QUOTAS DE FI MULTIMERCADO CREDITO PRIVADO BALANCED GROWTH INVESTIMENTO NO EXTERIOR;2021-01-29;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;MULTIMERCADO - INVESTIMENTO NO EXTERIOR;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;PASSIVA;100.00;S;S;N;0.00;S;;DIA SEGUINTE AO DA APLICAÇÃO;DIA ANTERIOR, ATUALIZADO POR 1 DIA (COTA DE ABERTURA);0;1;;1;DIAS ÚTEIS;N;0.000000;0.000000;S;20.000000000000;CDI;100.000000000000;0.000000000000;PASSIVO;O fundo cobrara 20.00 % do que exceder 100.00 % o indice CDIE. A taxa de performance sera paga no(s) mes(es) de Maio e Novembro;N;;;N;;;N;;S;100.00;S;S;100.00;S;100.000000000000;0.00;5.00;0.00;0.00;0.00;100.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;50.00;0.00;50.00;0.00;50.00;0.00;50.00;0.00;50.00;0.00;5.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50.00;0.00;50.00;0.00;50.00
01.353.260/0001-03;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;RENDA FIXA BAIXA DURAÇÃO - SOBERANO;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;0.00;S;N;;0.00;S;;DIA DA APLICAÇÃO;DIA ANTERIOR, ATUALIZADO POR 1 DIA (COTA DE ABERTURA);0;0;;0;DIAS ÚTEIS;N;1.600000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;N;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.822.655/0001-08;BANRISUL MASTER FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO-DI DE LONGO PRAZO;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;RENDA FIXA BAIXA DURAÇÃO - GRAU DE INVESTIMENTO;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E REFERENCIADA;0.00;S;N;;0.00;S;;DIA DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);0;0;0;0;DIAS CORRIDOS;N;0.500000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;S;50.000000000000;0.00;20.00;0.00;10.00;0.00;0.00;50.00;100.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;50.00;100.00;0.00;0.00;0.00;50.00;0.00;50.00;0.00;0.00;0.00;50.00;0.00;5.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.131.724/0001-08;BANRISUL INFRA-ESTRUTURA FUNDO DE INVESTIMENTO EM AÇÕES;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;AÇÕES - ATIVO - SETORIAIS;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;0.00;S;N;;100.00;S;;DIA SEGUINTE AO DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);1;2;;0;DIAS ÚTEIS;N;2.500000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;N;;0.00;0.00;0.00;100.00;0.00;0.00;0.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;67.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00
02.131.725/0001-44;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO EM AÇÕES;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;AÇÕES - ATIVO - ÍNDICE ATIVO;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;0.00;S;N;;100.00;S;;DIA SEGUINTE AO DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);1;2;;0;DIAS ÚTEIS;N;0.850000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;N;;0.00;0.00;0.00;100.00;0.00;0.00;0.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;67.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00
02.376.823/0001-41;SANTANDER MULTIMERCADO MACRO CRESCIMENTO MAX FIC FI;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;MULTIMERCADO - ESTRATÉGIA - LIVRE;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;100.00;S;S;N;10000.00;S;;DIA DA APLICAÇÃO;PRÓPRIO DIA (COTA DE FECHAMENTO);0;1;;1;DIAS ÚTEIS;N;1.500000;0.000000;S;20.000000000000;CDI;100.000000000000;0.000000000000;PASSIVO;;N;;;N;;;N;;N;;S;S;20.00;S;50.000000000000;0.00;5.00;0.00;0.00;0.00;100.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;20.00;0.00;20.00;0.00;5.00;0.00;5.00;0.00;20.00;0.00;20.00;0.00;20.00;0.00;5.00;0.00;5.00;0.00;100.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.430.487/0001-78;BANRISUL SUPER FUNDO DE INVESTIMENTO RENDA FIXA;2021-01-05;ABERTO;N;;INDETERMINADO;;PÚBLICO EM GERAL;S;RENDA FIXA BAIXA DURAÇÃO - SOBERANO;REDE DE AGÊNCIAS PRÓPRIAS OU DE INSTITUIÇÃO FINANCEIRA LIGADA AO MESMO GRUPO;ATIVA E NÃO-REFERENCIADA;0.00;S;N;;100.00;S;;DIA DA APLICAÇÃO;DIA ANTERIOR, ATUALIZADO POR 1 DIA (COTA DE ABERTURA);0;0;0;0;DIAS CORRIDOS;N;1.600000;0.020000;N;;;;;;;N;;;N;;;S;HEDGE;N;;S;N;;S;50.000000000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
