CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
00.000.432/0001-00;01/02/2005;148778766.37;18.226.847.000.000;148770861.37;0.00;0.00;1
00.000.432/0001-00;02/02/2005;149060069.70;18.261.262.000.000;149051759.11;0.00;0.00;1
00.000.432/0001-00;03/02/2005;149108183.11;18.267.107.000.000;149099466.83;0.00;0.00;1
00.000.432/0001-00;04/02/2005;148707649.79;18.279.205.000.000;148698211.39;0.00;500000.00;1
00.000.432/0001-00;09/02/2005;148823409.45;18.287.979.000.000;148769588.19;0.00;0.00;1
00.000.432/0001-00;10/02/2005;151287753.08;18.303.969.000.000;151279661.53;2380000.00;0.00;1
00.000.432/0001-00;11/02/2005;151392473.76;18.314.784.000.000;151369046.65;0.00;0.00;1
00.000.432/0001-00;14/02/2005;151552178.31;18.321.065.000.000;151420963.09;0.00;0.00;1
00.000.432/0001-00;15/02/2005;151953500.14;18.326.299.000.000;151464220.34;0.00;0.00;1
00.000.432/0001-00;16/02/2005;152224543.06;18.345.680.000.000;151624395.70;0.00;0.00;1
00.000.432/0001-00;17/02/2005;152487106.42;18.345.377.000.000;151621892.92;0.00;0.00;1
00.000.432/0001-00;18/02/2005;152688689.91;18.351.171.000.000;151669778.26;0.00;0.00;1
00.000.432/0001-00;21/02/2005;152940883.19;18.363.686.000.000;151773219.72;0.00;0.00;1
00.000.432/0001-00;22/02/2005;155700778.95;18.375.756.000.000;154872969.17;3000000.00;0.00;1
00.000.432/0001-00;23/02/2005;155209701.65;18.389.140.000.000;154985775.60;0.00;0.00;1
00.000.432/0001-00;24/02/2005;155696363.41;18.398.587.000.000;155065395.91;0.00;0.00;1
00.000.432/0001-00;25/02/2005;155555380.65;18.413.033.000.000;155187146.17;0.00;0.00;1
00.000.432/0001-00;28/02/2005;155552127.71;18.426.616.000.000;155301629.54;0.00;0.00;1
00.000.744/0001-06;01/02/2005;7680000.00;389.083.365.000.000;7678418.01;0.00;23970.32;2927
00.000.744/0001-06;02/02/2005;7683000.00;389.280.070.100.000;7680125.71;0.00;2174.19;2927
00.000.744/0001-06;03/02/2005;7685000.00;389.476.916.200.000;7681539.76;0.00;2469.54;2925
00.000.744/0001-06;04/02/2005;7687000.00;389.674.143.400.000;7681670.33;0.00;3759.28;2925
00.000.744/0001-06;09/02/2005;7687000.00;389.871.402.100.000;7680544.96;0.00;5013.78;2924
00.000.744/0001-06;10/02/2005;7683000.00;390.068.807.300.000;7675267.89;0.00;9165.93;2920
00.000.744/0001-06;11/02/2005;7686000.00;390.266.350.000.000;7677210.47;0.00;1944.37;2920
00.000.744/0001-06;14/02/2005;7689000.00;390.464.028.300.000;7679563.08;0.00;1536.05;2920
